"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","475.31","476.49","477.03","473.30","122.28M","-0.29%"
"12/28/2023","476.69","476.88","477.55","476.26","77.16M","0.04%"
"12/27/2023","476.51","475.44","476.66","474.89","68.00M","0.18%"
"12/26/2023","475.65","474.07","476.58","473.99","55.39M","0.42%"
"12/22/2023","473.65","473.86","475.38","471.70","67.16M","0.20%"
"12/21/2023","472.70","471.33","472.98","468.84","86.67M","0.95%"
"12/20/2023","468.26","473.96","475.89","467.82","102.92M","-1.39%"
"12/19/2023","474.84","472.53","474.92","472.45","55.76M","0.61%"
"12/18/2023","471.97","470.98","472.98","469.89","70.38M","0.56%"
"12/15/2023","469.33","469.49","470.70","467.43","141.55M","-0.57%"
"12/14/2023","472.01","472.50","473.73","469.25","119.03M","0.32%"
"12/13/2023","470.50","464.49","470.76","464.12","93.28M","1.38%"
"12/12/2023","464.10","461.63","464.20","460.60","68.33M","0.46%"
"12/11/2023","461.99","459.69","462.17","459.47","65.00M","0.39%"
"12/08/2023","460.20","457.46","460.74","457.21","83.19M","0.43%"
"12/07/2023","458.23","456.91","458.90","456.29","67.00M","0.76%"
"12/06/2023","454.76","458.81","458.84","454.31","69.12M","-0.40%"
"12/05/2023","456.60","455.26","457.59","454.87","69.79M","-0.02%"
"12/04/2023","456.69","455.60","459.12","454.34","72.43M","-0.52%"
"12/01/2023","459.10","455.77","459.65","455.16","89.18M","0.59%"
"11/30/2023","456.40","455.48","456.76","453.34","79.75M","0.39%"
"11/29/2023","454.61","457.15","458.32","454.20","63.15M","-0.07%"
"11/28/2023","454.93","454.08","456.27","453.50","62.12M","0.10%"
"11/27/2023","454.48","454.65","455.49","454.08","50.51M","-0.18%"
"11/24/2023","455.30","455.07","455.50","454.73","29.74M","0.06%"
"11/22/2023","455.02","454.98","456.38","453.89","59.45M","0.39%"
"11/21/2023","453.27","453.18","454.13","451.96","49.24M","-0.22%"
"11/20/2023","454.26","450.53","455.13","450.52","70.06M","0.77%"
"11/17/2023","450.79","450.24","451.42","449.29","83.19M","0.12%"
"11/16/2023","450.23","449.22","450.56","448.12","66.67M","0.12%"
"11/15/2023","449.68","450.11","451.38","448.80","77.33M","0.21%"
"11/14/2023","448.73","446.32","450.06","446.09","97.18M","1.94%"
"11/13/2023","440.19","439.23","441.33","438.42","52.24M","-0.10%"
"11/10/2023","440.61","435.98","440.93","433.83","89.56M","1.56%"
"11/09/2023","433.84","438.43","438.47","433.40","83.17M","-0.78%"
"11/08/2023","437.25","437.55","438.09","434.87","61.75M","0.07%"
"11/07/2023","436.93","435.69","437.58","434.51","64.26M","0.28%"
"11/06/2023","435.69","435.47","436.15","433.68","67.83M","0.23%"
"11/03/2023","434.69","433.14","436.29","433.01","100.17M","0.91%"
"11/02/2023","430.76","426.58","430.92","426.56","94.94M","1.92%"
"11/01/2023","422.66","419.20","423.50","418.65","98.07M","1.07%"
"10/31/2023","418.20","416.18","418.53","414.21","79.67M","0.63%"
"10/30/2023","415.59","413.56","416.68","412.22","86.56M","1.20%"
"10/27/2023","410.68","414.19","414.60","409.21","107.37M","-0.45%"
"10/26/2023","412.55","416.45","417.33","411.60","115.16M","-1.20%"
"10/25/2023","417.55","421.89","421.92","417.02","94.22M","-1.44%"
"10/24/2023","423.63","422.65","424.82","420.74","78.56M","0.75%"
"10/23/2023","420.46","419.61","424.45","417.80","92.04M","-0.17%"
"10/20/2023","421.19","425.98","426.54","421.08","123.92M","-1.23%"
"10/19/2023","426.43","430.95","432.82","425.73","121.32M","-0.88%"
"10/18/2023","430.21","434.19","435.18","429.09","93.56M","-1.33%"
"10/17/2023","436.02","432.81","438.14","432.45","75.32M","0.00%"
"10/16/2023","436.04","433.82","437.14","433.57","75.43M","1.05%"
"10/13/2023","431.50","435.21","436.45","429.88","95.20M","-0.50%"
"10/12/2023","433.66","436.95","437.33","431.23","81.15M","-0.61%"
"10/11/2023","436.32","435.64","436.58","433.18","62.45M","0.41%"
"10/10/2023","434.54","432.94","437.22","432.53","78.61M","0.52%"
"10/09/2023","432.29","427.58","432.88","427.01","80.37M","0.64%"
"10/06/2023","429.54","421.97","431.13","420.60","113.27M","1.19%"
"10/05/2023","424.50","424.36","425.37","421.17","70.14M","-0.04%"
"10/04/2023","424.66","422.07","425.43","420.56","87.45M","0.73%"
"10/03/2023","421.59","425.06","427.37","420.18","103.76M","-1.34%"
"10/02/2023","427.31","426.62","428.60","424.46","83.80M","-0.04%"
"09/29/2023","427.48","431.67","431.85","425.91","115.11M","-0.24%"
"09/28/2023","428.52","425.48","430.25","424.87","92.26M","0.58%"
"09/27/2023","426.05","427.09","427.67","422.29","104.71M","0.04%"
"09/26/2023","425.88","429.09","429.82","425.02","96.17M","-1.47%"
"09/25/2023","432.23","429.17","432.27","428.72","70.87M","0.42%"
"09/22/2023","430.42","432.45","434.10","429.99","100.83M","-0.22%"
"09/21/2023","431.39","435.70","435.97","431.23","104.10M","-1.65%"
"09/20/2023","438.64","444.01","444.43","438.43","82.56M","-0.92%"
"09/19/2023","442.71","442.68","443.29","439.94","66.51M","-0.21%"
"09/18/2023","443.63","443.05","444.97","442.56","55.75M","0.06%"
"09/15/2023","443.37","447.14","447.48","442.92","111.85M","-1.55%"
"09/14/2023","450.36","449.07","451.08","447.71","83.43M","0.86%"
"09/13/2023","446.51","446.22","447.71","445.08","60.20M","0.12%"
"09/12/2023","445.99","446.95","448.53","445.39","67.57M","-0.55%"
"09/11/2023","448.45","448.24","448.77","446.47","60.18M","0.66%"
"09/08/2023","445.52","444.90","447.11","444.53","62.07M","0.15%"
"09/07/2023","444.85","443.11","445.55","442.75","70.36M","-0.31%"
"09/06/2023","446.22","448.40","448.51","443.81","70.76M","-0.67%"
"09/05/2023","449.24","450.73","451.06","449.17","55.17M","-0.43%"
"09/01/2023","451.19","453.17","453.67","449.68","58.94M","0.19%"
"08/31/2023","450.35","451.65","452.83","450.16","66.08M","-0.15%"
"08/30/2023","451.01","449.51","451.67","448.78","69.05M","0.41%"
"08/29/2023","449.16","442.65","449.45","442.46","83.08M","1.45%"
"08/28/2023","442.76","442.24","443.40","439.97","61.60M","0.63%"
"08/25/2023","439.97","438.68","441.30","435.00","102.33M","0.70%"
"08/24/2023","436.89","444.69","445.22","436.86","88.52M","-1.39%"
"08/23/2023","443.03","439.25","443.67","439.10","68.44M","1.11%"
"08/22/2023","438.15","441.18","441.18","437.57","65.06M","-0.27%"
"08/21/2023","439.34","437.55","440.11","435.32","68.72M","0.65%"
"08/18/2023","436.50","433.37","437.57","433.01","98.85M","0.05%"
"08/17/2023","436.29","441.16","441.43","435.75","95.71M","-0.76%"
"08/16/2023","439.64","442.46","444.18","439.53","80.11M","-0.73%"
"08/15/2023","442.89","446.27","446.64","442.30","75.71M","-1.16%"
"08/14/2023","448.11","444.70","448.11","444.38","47.87M","0.55%"
"08/11/2023","445.65","443.97","446.70","443.35","68.69M","-0.06%"
"08/10/2023","445.91","448.19","451.70","444.70","93.01M","0.04%"
"08/09/2023","445.75","449.03","449.20","444.96","78.79M","-0.67%"
"08/08/2023","448.75","448.08","450.70","445.27","71.36M","-0.43%"
"08/07/2023","450.71","448.71","450.86","447.99","58.36M","0.87%"
"08/04/2023","446.81","450.72","452.89","446.27","100.13M","-0.45%"
"08/03/2023","448.84","448.04","450.79","447.37","64.42M","-0.29%"
"08/02/2023","450.13","453.25","453.52","449.35","93.93M","-1.39%"
"08/01/2023","456.48","456.27","457.25","455.49","55.50M","-0.29%"
"07/31/2023","457.79","457.41","458.16","456.05","62.04M","0.19%"
"07/28/2023","456.92","455.88","457.78","452.49","80.01M","0.98%"
"07/27/2023","452.49","459.02","459.44","451.55","92.19M","-0.66%"
"07/26/2023","455.51","454.47","456.99","453.38","71.05M","0.02%"
"07/25/2023","455.44","453.92","456.73","453.87","55.19M","0.27%"
"07/24/2023","454.20","453.37","455.04","452.30","54.02M","0.45%"
"07/21/2023","452.18","453.96","454.17","452.17","71.28M","0.00%"
"07/20/2023","452.18","454.17","455.10","451.44","70.59M","-0.66%"
"07/19/2023","455.20","455.01","456.43","454.11","65.89M","0.22%"
"07/18/2023","454.19","450.50","454.86","450.05","80.74M","0.74%"
"07/17/2023","450.84","449.13","451.93","449.08","52.68M","0.35%"
"07/14/2023","449.28","450.48","451.36","448.49","69.82M","-0.06%"
"07/13/2023","449.56","447.90","450.38","447.45","72.43M","0.79%"
"07/12/2023","446.02","446.39","447.48","444.91","91.92M","0.80%"
"07/11/2023","442.46","440.45","442.97","439.44","64.46M","0.64%"
"07/10/2023","439.66","438.18","439.84","437.58","62.44M","0.25%"
"07/07/2023","438.55","438.63","442.64","438.30","86.13M","-0.25%"
"07/06/2023","439.66","439.42","440.10","437.06","80.66M","-0.78%"
"07/05/2023","443.13","441.91","443.89","441.90","58.42M","-0.15%"
"07/03/2023","443.79","442.92","444.08","442.63","32.79M","0.12%"
"06/30/2023","443.28","441.44","444.30","441.11","104.96M","1.18%"
"06/29/2023","438.11","435.96","438.28","435.54","67.88M","0.39%"
"06/28/2023","436.39","435.05","437.44","434.41","75.64M","0.05%"
"06/27/2023","436.17","432.35","436.81","431.88","72.81M","1.10%"
"06/26/2023","431.44","432.62","434.61","431.19","72.82M","-0.41%"
"06/23/2023","433.21","432.93","435.06","432.47","92.07M","-0.76%"
"06/22/2023","436.51","433.95","436.62","433.60","70.64M","0.36%"
"06/21/2023","434.94","436.16","436.99","434.33","76.98M","-0.51%"
"06/20/2023","437.18","437.45","438.37","435.03","76.16M","-0.52%"
"06/16/2023","439.46","443.02","443.61","438.97","114.17M","-0.71%"
"06/15/2023","442.60","436.33","443.90","436.23","110.30M","1.24%"
"06/14/2023","437.18","437.01","439.06","433.59","100.61M","0.12%"
"06/13/2023","436.66","435.32","437.33","434.63","95.90M","0.66%"
"06/12/2023","433.80","430.92","433.88","430.17","76.26M","0.91%"
"06/09/2023","429.90","429.96","431.99","428.87","85.65M","0.18%"
"06/08/2023","429.13","426.62","429.60","425.82","61.95M","0.60%"
"06/07/2023","426.55","428.44","429.62","426.11","85.37M","-0.35%"
"06/06/2023","428.03","426.67","428.58","425.99","64.02M","0.22%"
"06/05/2023","427.10","428.28","429.67","426.37","70.32M","-0.19%"
"06/02/2023","427.92","424.50","428.74","423.95","91.43M","1.45%"
"06/01/2023","421.82","418.09","422.92","416.79","88.87M","0.95%"
"05/31/2023","417.85","418.28","419.22","416.22","110.81M","-0.55%"
"05/30/2023","420.18","422.03","422.58","418.73","72.22M","0.04%"
"05/26/2023","420.02","415.33","420.77","415.25","93.83M","1.30%"
"05/25/2023","414.65","414.74","416.16","412.41","90.96M","0.87%"
"05/24/2023","411.09","412.42","412.82","409.88","89.21M","-0.72%"
"05/23/2023","414.09","417.08","418.72","413.68","86.38M","-1.12%"
"05/22/2023","418.79","418.64","420.39","417.35","60.75M","0.04%"
"05/19/2023","418.62","420.17","420.72","417.35","103.79M","-0.15%"
"05/18/2023","419.23","414.90","419.67","414.67","97.18M","0.96%"
"05/17/2023","415.23","412.35","415.86","410.64","87.29M","1.21%"
"05/16/2023","410.25","411.86","412.82","410.24","57.71M","-0.67%"
"05/15/2023","413.01","412.22","413.43","410.23","54.29M","0.35%"
"05/12/2023","411.59","413.42","413.64","409.07","70.48M","-0.13%"
