"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","364.58","364.51","365.18","362.37","213.56K","0.09%"
"11/11/2024","364.25","365.62","365.71","362.50","253.29K","-0.18%"
"11/08/2024","364.92","363.63","365.57","363.61","278.86K","0.36%"
"11/07/2024","363.61","360.04","364.08","360.00","303.79K","1.55%"
"11/06/2024","358.05","355.44","358.56","354.16","350.12K","2.52%"
"11/05/2024","349.26","345.23","349.45","345.23","153.95K","1.42%"
"11/04/2024","344.36","345.11","346.42","343.42","191.61K","-0.33%"
"11/01/2024","345.50","344.45","348.05","344.45","170.18K","0.78%"
"10/31/2024","342.82","349.44","349.44","342.82","277.66K","-3.03%"
"10/30/2024","353.54","354.83","355.83","352.65","135.82K","-0.44%"
"10/29/2024","355.10","352.31","355.84","351.29","194.51K","0.82%"
"10/28/2024","352.22","354.51","354.61","352.10","138.42K","0.12%"
"10/25/2024","351.79","351.78","354.80","351.00","161.50K","0.42%"
"10/24/2024","350.33","349.92","350.41","348.06","116.51K","0.66%"
"10/23/2024","348.02","352.02","352.12","345.59","190.38K","-1.53%"
"10/22/2024","353.43","351.31","354.28","350.64","164.74K","0.03%"
"10/21/2024","353.32","351.05","353.32","350.15","195.57K","0.43%"
"10/18/2024","351.81","351.69","352.48","351.08","123.29K","0.55%"
"10/17/2024","349.88","352.75","352.86","349.73","119.20K","0.13%"
"10/16/2024","349.41","348.75","349.60","346.40","115.79K","0.15%"
"10/15/2024","348.88","353.01","353.47","347.49","207.13K","-1.06%"
"10/14/2024","352.61","351.11","353.52","351.07","181.76K","0.88%"
"10/11/2024","349.53","348.04","350.11","347.50","141.18K","0.20%"
"10/10/2024","348.82","347.53","349.77","346.93","117.47K","-0.04%"
"10/09/2024","348.97","346.85","349.21","346.00","137.10K","0.61%"
"10/08/2024","346.87","343.36","346.92","343.36","168.74K","1.53%"
"10/07/2024","341.63","343.75","344.60","340.92","151.14K","-0.94%"
"10/04/2024","344.86","344.67","345.07","341.53","143.34K","1.04%"
"10/03/2024","341.30","340.10","342.90","339.54","156.68K","0.07%"
